id,Exited
165034,0.0
165035,0.35
165036,0.0
165037,0.06
165038,0.15
165039,0.0
165040,0.0
165041,0.01
165042,0.28
165043,0.0
165044,0.0
165045,0.0
165046,0.0
165047,0.02
165048,0.49
165049,0.0
165050,0.01
165051,0.22
165052,0.0
165053,0.0
165054,0.01
165055,0.0
165056,0.07
165057,0.0
165058,0.42
165059,0.0
165060,0.63
165061,0.09
165062,0.01
165063,0.12
165064,0.0
165065,0.0
165066,0.0
165067,0.03
165068,0.0
165069,0.0
165070,0.37
165071,0.0
165072,0.0
165073,0.66
165074,0.2
165075,0.01
165076,0.13
165077,0.0
165078,0.15
165079,0.1
165080,0.0
165081,0.0
165082,0.0
165083,0.19
165084,0.01
165085,0.0
165086,0.0
165087,0.13
165088,0.0
165089,0.0
165090,0.0
165091,0.0
165092,0.0
165093,0.03
165094,0.0
165095,0.05
165096,0.07
165097,0.15
165098,0.0
165099,0.0
165100,0.44
165101,0.0
165102,0.01
165103,0.0
165104,0.06
165105,0.42
165106,0.07
165107,0.04
165108,0.0
165109,0.22
165110,0.01
165111,0.0
165112,0.0
165113,0.0
165114,0.0
165115,0.0
165116,0.21
165117,0.0
165118,0.09
165119,0.0
165120,0.02
165121,0.07
165122,0.01
165123,0.0
165124,0.12
165125,0.0
165126,0.0
165127,0.0
165128,0.0
165129,0.0
165130,0.53
165131,0.0
165132,0.08
165133,0.0
165134,0.0
165135,0.0
165136,0.0
165137,0.13
165138,0.3
165139,0.31
165140,0.02
165141,0.0
165142,0.0
165143,0.01
165144,0.03
165145,0.21
165146,0.03
165147,0.0
165148,0.07
165149,0.0
165150,0.0
165151,0.39
165152,0.22
165153,0.04
165154,0.0
165155,0.0
165156,0.0
165157,0.0
165158,0.08
165159,0.03
165160,0.0
165161,0.0
165162,0.64
165163,0.0
165164,0.0
165165,0.1
165166,0.67
165167,0.01
165168,0.0
165169,0.0
165170,0.0
165171,0.06
165172,0.12
165173,0.13
165174,0.0
165175,0.09
165176,0.0
165177,0.0
165178,0.07
165179,0.46
165180,0.0
165181,0.46
165182,0.09
165183,0.0
165184,0.01
165185,0.0
165186,0.0
165187,0.71
165188,0.6
165189,0.0
165190,0.0
165191,0.0
165192,0.0
165193,0.03
165194,0.08
165195,0.02
165196,0.03
165197,0.74
165198,0.29
165199,0.0
165200,0.19
165201,0.52
165202,0.47
165203,0.53
165204,0.19
165205,0.0
165206,0.07
165207,0.0
165208,0.0
165209,0.01
165210,0.27
165211,0.45
165212,0.0
165213,0.0
165214,0.48
165215,0.06
165216,0.02
165217,0.0
165218,0.0
165219,0.38
165220,0.04
165221,0.06
165222,0.09
165223,0.0
165224,0.0
165225,0.6
165226,0.23
165227,0.01
165228,0.04
165229,0.24
165230,0.54
165231,0.02
165232,0.0
165233,0.0
165234,0.02
165235,0.0
165236,0.53
165237,0.0
165238,0.0
165239,0.0
165240,0.0
165241,0.0
165242,0.07
165243,0.0
165244,0.46
165245,0.0
165246,0.0
165247,0.0
165248,0.0
165249,0.04
165250,0.0
165251,0.0
165252,0.08
165253,0.12
165254,0.0
165255,0.0
165256,0.09
165257,0.0
165258,0.43
165259,0.18
165260,0.14
165261,0.46
165262,0.15
165263,0.0
165264,0.0
165265,0.0
165266,0.0
165267,0.14
165268,0.15
165269,0.16
165270,0.07
165271,0.0
165272,0.64
165273,0.01
165274,0.0
165275,0.23
165276,0.09
165277,0.2
165278,0.58
165279,0.0
165280,0.0
165281,0.0
165282,0.0
165283,0.0
165284,0.1
165285,0.02
165286,0.02
165287,0.0
165288,0.0
165289,0.0
165290,0.0
165291,0.0
165292,0.01
165293,0.33
165294,0.0
165295,0.04
165296,0.0
165297,0.0
165298,0.0
165299,0.0
165300,0.13
165301,0.08
165302,0.15
165303,0.0
165304,0.0
165305,0.0
165306,0.0
165307,0.0
165308,0.0
165309,0.05
165310,0.03
165311,0.01
165312,0.42
165313,0.0
165314,0.0
165315,0.08
165316,0.03
165317,0.0
165318,0.21
165319,0.04
165320,0.0
165321,0.05
165322,0.01
165323,0.02
165324,0.1
165325,0.15
165326,0.13
165327,0.04
165328,0.09
165329,0.0
165330,0.01
165331,0.02
165332,0.36
165333,0.0
165334,0.0
165335,0.0
165336,0.07
165337,0.01
165338,0.09
165339,0.07
165340,0.0
165341,0.0
165342,0.0
165343,0.0
165344,0.01
165345,0.0
165346,0.73
165347,0.05
165348,0.0
165349,0.01
165350,0.0
165351,0.0
165352,0.0
165353,0.0
165354,0.0
165355,0.06
165356,0.0
165357,0.0
165358,0.0
165359,0.0
165360,0.46
165361,0.0
165362,0.09
165363,0.06
165364,0.0
165365,0.45
165366,0.0
165367,0.07
165368,0.04
165369,0.41
165370,0.01
165371,0.0
165372,0.0
165373,0.0
165374,0.27
165375,0.01
165376,0.0
165377,0.0
165378,0.11
165379,0.0
165380,0.07
165381,0.02
165382,0.0
165383,0.0
165384,0.0
165385,0.06
165386,0.49
165387,0.0
165388,0.07
165389,0.0
165390,0.13
165391,0.0
165392,0.0
165393,0.0
165394,0.01
165395,0.0
165396,0.0
165397,0.0
165398,0.17
165399,0.01
165400,0.0
165401,0.04
165402,0.05
165403,0.02
165404,0.0
165405,0.07
165406,0.02
165407,0.0
165408,0.19
165409,0.0
165410,0.0
165411,0.0
165412,0.0
165413,0.0
165414,0.0
165415,0.0
165416,0.6
165417,0.0
165418,0.0
165419,0.6
165420,0.0
165421,0.26
165422,0.0
165423,0.0
165424,0.0
165425,0.23
165426,0.0
165427,0.0
165428,0.19
165429,0.18
165430,0.0
165431,0.0
165432,0.26
165433,0.75
165434,0.44
165435,0.06
165436,0.16
165437,0.0
165438,0.0
165439,0.09
165440,0.39
